0,97,55,21,49,70,63,33,61,85,78,21,71,43,79,28,55,48,95,79
97,0,53,100,62,29,35,95,56,32,40,80,78,58,75,72,49,74,30,58
55,53,0,67,51,38,21,42,57,31,60,34,80,14,36,41,42,64,41,28
21,100,67,0,42,72,70,54,54,95,74,37,57,54,96,29,53,37,104,94
49,62,51,42,0,34,41,67,12,67,32,44,30,40,87,22,14,12,75,78
70,29,38,72,34,0,17,74,30,38,23,55,55,36,71,44,20,46,43,57
63,35,21,70,41,17,0,60,42,27,40,45,67,23,54,41,28,52,35,40
33,95,42,54,67,74,60,0,78,72,90,24,95,38,52,46,66,72,82,57
61,56,57,54,12,30,42,78,0,67,21,55,25,47,93,34,15,19,73,81
85,32,31,95,67,38,27,72,67,0,60,65,92,42,43,66,54,79,10,26
78,40,60,74,32,23,40,90,21,60,0,68,38,54,93,51,24,40,64,79
21,80,34,37,44,55,45,24,55,65,68,0,72,23,60,22,44,48,75,59
71,78,80,57,30,55,67,95,25,92,38,72,0,69,117,49,39,23,98,106
43,58,14,54,40,36,23,38,47,42,54,23,69,0,48,27,33,49,52,42
79,75,36,96,87,71,54,52,93,43,93,60,117,48,0,75,78,97,49,17
28,72,41,29,22,44,41,46,34,66,51,22,49,27,75,0,27,26,76,69
55,49,42,53,14,20,28,66,15,54,24,44,39,33,78,27,0,26,61,67
48,74,64,37,12,46,52,72,19,79,40,48,23,49,97,26,26,0,87,89
95,30,41,104,75,43,35,82,73,10,64,75,98,52,49,76,61,87,0,32
79,58,28,94,78,57,40,57,81,26,79,59,106,42,17,69,67,89,32,0
